ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-05,5850.161354050606,-5619.4143586544715,13240.410216053177,5850.161354050606,5850.161354050606,-2310.6835413789163,-2310.6835413789163,-2310.6835413789163,1079.3357269124724,1079.3357269124724,1079.3357269124724,-3390.0192682913885,-3390.0192682913885,-3390.0192682913885,0.0,0.0,0.0,3539.4778126716897
2017-01-06,5891.344032216584,-5584.394399594247,12981.727551071306,5891.344032216584,5891.344032216584,-2285.4013993473477,-2285.4013993473477,-2285.4013993473477,155.00960469668814,155.00960469668814,155.00960469668814,-2440.4110040440355,-2440.4110040440355,-2440.4110040440355,0.0,0.0,0.0,3605.9426328692366
2017-01-07,5932.526710382561,-9870.392761299427,8963.674918399907,5932.526710382561,5932.526710382561,-6942.861016042086,-6942.861016042086,-6942.861016042086,-5378.716804085476,-5378.716804085476,-5378.716804085476,-1564.1442119566088,-1564.1442119566088,-1564.1442119566088,0.0,0.0,0.0,-1010.334305659525
2017-01-08,5973.709388548539,-7839.155697995564,10014.105565906742,5973.709388548539,5973.709388548539,-5106.181662552248,-5106.181662552248,-5106.181662552248,-4333.254016892932,-4333.254016892932,-4333.254016892932,-772.9276456593159,-772.9276456593159,-772.9276456593159,0.0,0.0,0.0,867.5277259962913
2017-01-09,6014.892066714516,-743.6601747278952,18859.74826387573,6014.892066714516,6014.892066714516,3234.762481680475,3234.762481680475,3234.762481680475,3310.454895362468,3310.454895362468,3310.454895362468,-75.69241368199258,-75.69241368199258,-75.69241368199258,0.0,0.0,0.0,9249.65454839499
2017-01-10,6056.074744880494,-209.8242375826008,19108.55497948531,6056.074744880494,6056.074744880494,3499.9110494933366,3499.9110494933366,3499.9110494933366,2978.4511671183523,2978.4511671183523,2978.4511671183523,521.4598823749845,521.4598823749845,521.4598823749845,0.0,0.0,0.0,9555.985794373832
2017-01-11,6097.257423046471,-815.5238583184899,19554.956067815863,6097.257423046471,6097.257423046471,3203.9568905771457,3203.9568905771457,3203.9568905771457,2188.719426899467,2188.719426899467,2188.719426899467,1015.2374636776784,1015.2374636776784,1015.2374636776784,0.0,0.0,0.0,9301.214313623615
2017-01-12,6138.440101212449,-1136.9680548088188,18176.77636717259,6138.440101212449,6138.440101212449,2484.4061446945866,2484.4061446945866,2484.4061446945866,1079.335726912601,1079.335726912601,1079.335726912601,1405.070417781985,1405.070417781985,1405.070417781985,0.0,0.0,0.0,8622.846245907036
2017-01-13,6179.6227793784265,-2098.351915661515,16901.98075875599,6179.6227793784265,6179.6227793784265,1847.96899924416,1847.96899924416,1847.96899924416,155.00960469191557,155.00960469191557,155.00960469191557,1692.9593945522445,1692.9593945522445,1692.9593945522445,0.0,0.0,0.0,8027.591778622586
2017-01-14,6220.805457544404,-6858.658464718587,12157.955564277907,6220.805457544404,6220.805457544404,-3495.449449721991,-3495.449449721991,-3495.449449721991,-5378.716804092604,-5378.716804092604,-5378.716804092604,1883.2673543706142,1883.2673543706142,1883.2673543706142,0.0,0.0,0.0,2725.3560078224127
